Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	recurrent brief depression	oboInOwl:hasExactSynonym	RBD
WARN	duplicate_exact_synonym	pathological anxiety	oboInOwl:hasExactSynonym	hysteria
WARN	duplicate_exact_synonym	conversion disorder	oboInOwl:hasExactSynonym	hysteria
WARN	duplicate_exact_synonym	grooming behavior	oboInOwl:hasExactSynonym	groom@en
WARN	duplicate_exact_synonym	flight behavior	oboInOwl:hasExactSynonym	fly@en
WARN	duplicate_exact_synonym	discriminatory behavior	oboInOwl:hasExactSynonym	<new synonym>
WARN	duplicate_exact_synonym	bruxism	oboInOwl:hasExactSynonym	<new synonym>
WARN	duplicate_label_synonym	aggressive behavior towards humans	oboInOwl:hasExactSynonym	aggressive behavior towards humans
WARN	duplicate_label_synonym	aggressive behavior towards animals	oboInOwl:hasExactSynonym	aggressive behavior towards animals
WARN	duplicate_label_synonym	aggressive behavior towards objects	oboInOwl:hasExactSynonym	aggressive behavior towards objects
WARN	duplicate_label_synonym	aggressive behavior towards mice	oboInOwl:hasExactSynonym	aggressive behavior towards mice
WARN	duplicate_label_synonym	aggressive behavior towards women	oboInOwl:hasExactSynonym	aggressive behavior towards women
WARN	duplicate_label_synonym	aggressive behavior towards men	oboInOwl:hasExactSynonym	aggressive behavior towards men
WARN	duplicate_label_synonym	aggressive behavior towards male mice	oboInOwl:hasExactSynonym	aggressive behavior towards male mice
WARN	duplicate_label_synonym	aggressive behavior towards female mice	oboInOwl:hasExactSynonym	aggressive behavior towards female mice
WARN	duplicate_label_synonym	aggressive behavior towards inanimate objects	oboInOwl:hasExactSynonym	aggressive behavior towards inanimate objects
WARN	duplicate_label_synonym	aggressive behavior towards animate objects	oboInOwl:hasExactSynonym	aggressive behavior towards animate objects
WARN	duplicate_label_synonym	aggressive behavior towards children	oboInOwl:hasExactSynonym	aggressive behavior towards children
WARN	duplicate_label_synonym	aggressive behavior towards pups	oboInOwl:hasExactSynonym	aggressive behavior towards pups
WARN	duplicate_label_synonym	aggressive behavior towards males	oboInOwl:hasExactSynonym	aggressive behavior towards males
WARN	duplicate_label_synonym	submissive behavior towards males	oboInOwl:hasExactSynonym	submissive behavior towards males
WARN	duplicate_label_synonym	submissive behavior towards females	oboInOwl:hasExactSynonym	submissive behavior towards females
WARN	duplicate_label_synonym	submissive behavior towards male mice	oboInOwl:hasExactSynonym	submissive behavior towards male mice
WARN	duplicate_label_synonym	saltation	oboInOwl:hasExactSynonym	saltation
WARN	duplicate_label_synonym	blinking	oboInOwl:hasExactSynonym	blinking
WARN	equivalent_class_axiom_no_genus	regulation of eating behavior	RO:0002211	food consumption
WARN	equivalent_class_axiom_no_genus	regulation of drinking behavior	RO:0002211	liquid consumption
WARN	equivalent_class_axiom_no_genus	regulation of behavior	RO:0002211	behavior process
WARN	equivalent_class_axiom_no_genus	regulation of alcohol consumption	RO:0002211	alcohol consumption
WARN	equivalent_class_axiom_no_genus	regulation of cocaine consumption	RO:0002211	cocaine consumption
WARN	equivalent_class_axiom_no_genus	regulation of consumption behavior	RO:0002211	consumption behavior
WARN	equivalent_class_axiom_no_genus	regulation of consumption of an addictive substance	RO:0002211	consumption of an addictive substance
WARN	equivalent_class_axiom_no_genus	regulation of nicotine consumption	RO:0002211	nicotine consumption
WARN	equivalent_class_axiom_no_genus	regulation of morphine consumption	RO:0002211	morphine consumption
WARN	equivalent_class_axiom_no_genus	regulation of water consumption	RO:0002211	water consumption
WARN	equivalent_class_axiom_no_genus	regulation of saccharin consumption	RO:0002211	saccharin consumption
WARN	equivalent_class_axiom_no_genus	regulation of sexual activity	RO:0002211	sexual activity
WARN	equivalent_class_axiom_no_genus	regulation of behavioral response to chemical stimulus	RO:0002211	behavioral response to chemical stimulus
WARN	equivalent_class_axiom_no_genus	regulation of behavioral response to addictive substance	RO:0002211	behavioral response to addictive substance
WARN	equivalent_class_axiom_no_genus	regulation of withdrawal response	RO:0002211	withdrawal response
WARN	equivalent_class_axiom_no_genus	regulation of addiction response	RO:0002211	addiction response
WARN	missing_definition	whole body movement	IAO:0000115	
WARN	missing_definition	rhythmic behavior	IAO:0000115	
WARN	missing_definition	seizures/epilepsy	IAO:0000115	
WARN	missing_definition	emission behavior	IAO:0000115	
WARN	missing_definition	behavioral control of production of sound	IAO:0000115	
WARN	missing_definition	weaning behavior	IAO:0000115	
WARN	missing_definition	nuzzling	IAO:0000115	
WARN	missing_definition	swaying	IAO:0000115	
WARN	missing_definition	tilting	IAO:0000115	
WARN	missing_definition	yawning	IAO:0000115	
WARN	missing_definition	writhing	IAO:0000115	
WARN	missing_definition	exploration behavior	IAO:0000115	
WARN	missing_definition	agonistic behavior	IAO:0000115	
WARN	missing_definition	subordination behavior	IAO:0000115	
WARN	missing_definition	liquid preference/aversion	IAO:0000115	
WARN	missing_definition	food preference/aversion	IAO:0000115	
WARN	missing_definition	food preference	IAO:0000115	
WARN	missing_definition	food aversion	IAO:0000115	
WARN	missing_definition	saccharin preference	IAO:0000115	
WARN	missing_definition	mating frequency	IAO:0000115	
WARN	missing_definition	mating preference	IAO:0000115	
WARN	missing_definition	mating receptivity	IAO:0000115	
WARN	missing_definition	sexual display behavior	IAO:0000115	
WARN	missing_definition	social investigation	IAO:0000115	
WARN	missing_definition	reclusive behavior	IAO:0000115	
WARN	missing_definition	maternal crouching	IAO:0000115	
WARN	missing_definition	nesting behavior	IAO:0000115	
WARN	missing_definition	nest building behavior	IAO:0000115	
WARN	missing_definition	sleep pattern	IAO:0000115	
WARN	missing_definition	rapid eye movement sleep	IAO:0000115	
WARN	missing_definition	sleep duration	IAO:0000115	
WARN	missing_definition	REM frequency	IAO:0000115	
WARN	missing_definition	NREM frequency	IAO:0000115	
WARN	missing_definition	circadian period	IAO:0000115	
WARN	missing_definition	circadian persistence	IAO:0000115	
WARN	missing_definition	circadian phase	IAO:0000115	
WARN	missing_definition	olfactory learning behavior	IAO:0000115	
WARN	missing_definition	visual learning behavior	IAO:0000115	
WARN	missing_definition	motor learning	IAO:0000115	
WARN	missing_definition	spatial learning	IAO:0000115	
WARN	missing_definition	iconic memory	IAO:0000115	
WARN	missing_definition	direct priming	IAO:0000115	
WARN	missing_definition	response priming	IAO:0000115	
WARN	missing_definition	avoidance learning behavior	IAO:0000115	
WARN	missing_definition	conditioned taste aversion	IAO:0000115	
WARN	missing_definition	imprinting behavior	IAO:0000115	
WARN	missing_definition	latent learning behavior	IAO:0000115	
WARN	missing_definition	observational learning	IAO:0000115	
WARN	missing_definition	language learning behavior	IAO:0000115	
WARN	missing_definition	conditioned emotional response	IAO:0000115	
WARN	missing_definition	conditioned place preference behavior	IAO:0000115	
WARN	missing_definition	contextual conditioning behavior	IAO:0000115	
WARN	missing_definition	cued conditioning behavior	IAO:0000115	
WARN	missing_definition	spinal conditioning	IAO:0000115	
WARN	missing_definition	eye blink conditioning behavior	IAO:0000115	
WARN	missing_definition	jaw movement conditioning behavior	IAO:0000115	
WARN	missing_definition	pleasure behavior	IAO:0000115	
WARN	missing_definition	excitement behavior	IAO:0000115	
WARN	missing_definition	distress behavior	IAO:0000115	
WARN	missing_definition	anorexia nervosa	IAO:0000115	
WARN	missing_definition	bulimia nervosa	IAO:0000115	
WARN	missing_definition	obesity	IAO:0000115	
WARN	missing_definition	pathological anxiety	IAO:0000115	
WARN	missing_definition	dissociative disorders	IAO:0000115	
WARN	missing_definition	dissociative amnesia	IAO:0000115	
WARN	missing_definition	dissociative fugue	IAO:0000115	
WARN	missing_definition	dissociative identity disorder	IAO:0000115	
WARN	missing_definition	mood disorder	IAO:0000115	
WARN	missing_definition	major depressive disorder	IAO:0000115	
WARN	missing_definition	psychotic disorder	IAO:0000115	
WARN	missing_definition	paranoid schizophrenia	IAO:0000115	
WARN	missing_definition	catatonic schizophrenia	IAO:0000115	
WARN	missing_definition	disorganized (hebephrenic) schizophrenia	IAO:0000115	
WARN	missing_definition	undifferentiated schizophrenia	IAO:0000115	
WARN	missing_definition	residual schizophrenia	IAO:0000115	
WARN	missing_definition	personality disorder	IAO:0000115	
WARN	missing_definition	delirium	IAO:0000115	
WARN	missing_definition	dementia	IAO:0000115	
WARN	missing_definition	amnestic disorder	IAO:0000115	
WARN	missing_definition	social facilitation	IAO:0000115	
WARN	missing_definition	social interference	IAO:0000115	
WARN	missing_definition	group polarization	IAO:0000115	
WARN	missing_definition	groupthink	IAO:0000115	
WARN	missing_definition	discriminatory behavior	IAO:0000115	
WARN	missing_definition	gender specific discriminatory behavior	IAO:0000115	
WARN	missing_definition	attraction-related behavior	IAO:0000115	
WARN	missing_definition	friendship	IAO:0000115	
WARN	missing_definition	love	IAO:0000115	
WARN	missing_definition	social influence related behavior	IAO:0000115	
WARN	missing_definition	conformity	IAO:0000115	
WARN	missing_definition	obedience to authority	IAO:0000115	
WARN	missing_definition	bystander intervention	IAO:0000115	
WARN	missing_definition	satiation	IAO:0000115	
WARN	missing_definition	alloparental behavior	IAO:0000115	
WARN	missing_definition	memory encoding behavior	IAO:0000115	
WARN	missing_definition	balance	IAO:0000115	
WARN	missing_definition	body rotation sensation behavior	IAO:0000115	
WARN	missing_definition	gravitation sensation behavior	IAO:0000115	
WARN	missing_definition	movement sensation behavior	IAO:0000115	
WARN	missing_definition	taste behavior	IAO:0000115	
WARN	missing_definition	cutaneous sensation behavior	IAO:0000115	
WARN	missing_definition	nociceptive behavior	IAO:0000115	
WARN	missing_definition	touch related behavior	IAO:0000115	
WARN	missing_definition	chemical nociceptive behavior	IAO:0000115	
WARN	missing_definition	mechanical nociceptive behavior	IAO:0000115	
WARN	missing_definition	thermal nociceptive behavior	IAO:0000115	
WARN	missing_definition	chemically-elicited antinociceptive behavior	IAO:0000115	
WARN	missing_definition	pressure related behavior	IAO:0000115	
WARN	missing_definition	manual dexterity	IAO:0000115	
WARN	missing_definition	bilateral coordination	IAO:0000115	
WARN	missing_definition	jaw jerk reflex	IAO:0000115	
WARN	missing_definition	eye movement	IAO:0000115	
WARN	missing_definition	tail movement	IAO:0000115	
WARN	missing_definition	vertical activity	IAO:0000115	
WARN	missing_definition	behavior related to feelings experiencing	IAO:0000115	
WARN	missing_definition	predator avoidance behavior	IAO:0000115	
WARN	missing_definition	rhythmic behavior phenotype	IAO:0000115	
WARN	missing_definition	circadian behavior phenotype	IAO:0000115	
WARN	missing_definition	intrinsic sleep disorder	IAO:0000115	
WARN	missing_definition	extrinsic sleep disorder	IAO:0000115	
WARN	missing_definition	intrinsic circadian rhythm sleep disorder	IAO:0000115	
WARN	missing_definition	shift work sleep disorder	IAO:0000115	
WARN	missing_definition	depressive disorder	IAO:0000115	
WARN	missing_definition	substance induced mood disorder	IAO:0000115	
WARN	missing_definition	alcohol induced mood disorder	IAO:0000115	
WARN	missing_definition	benzodiazepine induced mood disorder	IAO:0000115	
WARN	missing_definition	Interferon-alpha induced mood disorder	IAO:0000115	
WARN	missing_definition	short term object recognition memory	IAO:0000115	
WARN	missing_definition	visual short term memory	IAO:0000115	
WARN	missing_definition	spatial working memory	IAO:0000115	
WARN	missing_definition	long term spatial memory	IAO:0000115	
WARN	missing_definition	social withdrawal	IAO:0000115	
WARN	missing_definition	social withdrawal in childhood	IAO:0000115	
WARN	missing_definition	behavioral despair	IAO:0000115	
WARN	missing_definition	laughing behavior	IAO:0000115	
WARN	missing_definition	irritable aggressive behavior	IAO:0000115	
WARN	missing_definition	discrimination learning	IAO:0000115	
WARN	missing_definition	being conscious	IAO:0000115	
WARN	missing_definition	cutaneous sensation behavior phenotype	IAO:0000115	
WARN	missing_definition	partial seizure evolving to secondarily generalized seizure	IAO:0000115	
WARN	missing_definition	simple partial seizure evolving to generalized seizure	IAO:0000115	
WARN	missing_definition	complex partial seizure evolving to generalized seizure	IAO:0000115	
WARN	missing_definition	simple partial seizure evolving to complex partial seizure evolving to generalized seizure	IAO:0000115	
WARN	missing_definition	simple partial onset, followed by impairment of consciousness	IAO:0000115	
WARN	missing_definition	with impairment of consciousness at onset	IAO:0000115	
WARN	missing_definition	childhood absence epilepsy	IAO:0000115	
WARN	missing_definition	continuous seizure	IAO:0000115	
WARN	missing_definition	non-convulsive status epilepticus	IAO:0000115	
WARN	missing_definition	generalised convulsive status epilepticus	IAO:0000115	
WARN	missing_definition	absence status epilepticus	IAO:0000115	
WARN	missing_definition	aggressive behavior by intent	IAO:0000115	
WARN	missing_definition	aggressive behavior by means	IAO:0000115	
WARN	missing_definition	perception behavior phenotype	IAO:0000115	
WARN	missing_definition	spatial perception	IAO:0000115	
WARN	missing_definition	jaw movement	IAO:0000115	
WARN	missing_definition	blinking	IAO:0000115	
WARN	missing_definition	eyelid movement	IAO:0000115	
WARN	missing_definition	perception behavior by means	IAO:0000115	
WARN	missing_definition	electrical nociceptive behavior	IAO:0000115	
WARN	missing_definition	emission behavior phenotype	IAO:0000115	
WARN	missing_definition	behavioral control of production of sound phenotype	IAO:0000115	
WARN	missing_definition	behavioral control of external secretion phenotype	IAO:0000115	
WARN	missing_definition	emotional conditioning	IAO:0000115	
WARN	missing_definition	increased amount of liquid in a single drinking act	IAO:0000115	
WARN	missing_definition	increased amount of liquid in drinking regulation	IAO:0000115	
WARN	missing_definition	frequency of drinking	IAO:0000115	
WARN	missing_definition	increased frequency of drinking	IAO:0000115	
WARN	missing_definition	decreased frequency of drinking	IAO:0000115	
WARN	missing_definition	rotation behavior	IAO:0000115	
WARN	missing_definition	cannabis consumption	IAO:0000115	
WARN	missing_definition	by_means	IAO:0000115	
WARN	missing_definition	has-input	IAO:0000115	
WARN	missing_definition	has_participant	IAO:0000115	
WARN	missing_definition	in_response_to	IAO:0000115	
WARN	missing_definition	is_about	IAO:0000115	
WARN	missing_definition	qualifier	IAO:0000115	
INFO	lowercase_definition	emotional behavior	IAO:0000115	"\""Behavior related to the complex psychophysiological experience of an individual's state of mind as interacting with biochemical (internal) and environmental (external) influences.\"" [wikipedia:Emotions]"
INFO	lowercase_definition	reflexive behavior phenotype	IAO:0000115	"\""Observable characteristic of behaviour related to involuntary movement in response to a stimulus.\"" [NBO:GVG]"
INFO	lowercase_definition	learning and/or memory behavior	IAO:0000115	"\""Behavior related to the acquisition and processing of information and/or the storage and retrieval of this information over time.\"" [GO:jic]"
INFO	lowercase_definition	locomotory behavior phenotype	IAO:0000115	"\""Observable characteristic of behavior associated with the specific movement from place to place of an organism.\"" [NBO:GVG]"
INFO	lowercase_definition	social behavior	IAO:0000115	"\""A behavior that occurs predominantly or only, in individuals that are part of a group.\"" [Wikipedia:Social_behavior]"
INFO	lowercase_definition	mating behavior	IAO:0000115	"\""Behavior related to the interactions between organisms for the purpose of mating.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior	IAO:0000115	"\""A behavioral interaction between organisms in which one organism has the intention of inflicting damage on another individual using physical or verbal means.\"" [wikipedia:Aggression]"
INFO	lowercase_definition	jumping behavior	IAO:0000115	"\""Behavior relate to the usually upward movement off the ground or other surface through sudden muscular effort in the legs.\"" [GO:0007630]"
INFO	lowercase_definition	fear/anxiety related behavior	IAO:0000115	"\""Emotional behavior related to fear or anxiety.\"" [NBO:GVG]"
INFO	lowercase_definition	learning behavior	IAO:0000115	"\""Behavior associated with any process in an organism in which a relatively long-lasting adaptive behavioral change occurs as the result of experience.\"" [wikipedia:Learning]"
INFO	lowercase_definition	head shaking	IAO:0000115	"\""Movement of the head in the horizontal plane.\"" [NBO:GVG]"
INFO	lowercase_definition	sleeping behavior	IAO:0000115	"\""Behavior related to the readily reversible state of reduced awareness and metabolic activity that occurs periodically in many animals.\"" [NBO:GVG]"
INFO	lowercase_definition	seizures	IAO:0000115	"\""An uncontrolled, paroxysmal neuronal discharge in any part of the brain; it may cause physical or mental symptoms and may be convulsive or nonconvulsive\"" [NBO:GVG]"
INFO	lowercase_definition	akinesia	IAO:0000115	"\""Absence of voluntary movement.\"" [NBO:GVG]"
INFO	lowercase_definition	bradykinesia	IAO:0000115	"\""Reduction of voluntary movement.\"" [NBO:GVG]"
INFO	lowercase_definition	hyperactivity	IAO:0000115	"\""A kinesthetic behavior which relatively increased.\"" [NBO:GVG]"
INFO	lowercase_definition	hypoactivity	IAO:0000115	"\""A kinesthetic behavior which relatively decreased.\"" [NBO:GVG]"
INFO	lowercase_definition	paralysis	IAO:0000115	"\""Loss of power of voluntary movement in a muscle through injury or disease of its nerve supply.\"" [JAX:<new dbxref>]"
INFO	lowercase_definition	carpoptosis	IAO:0000115	"\""Paralysis of the extensors of the wrist and fingers.\"" [JAX:<new dbxref>]"
INFO	lowercase_definition	sexual activity	IAO:0000115	"\""Behaviour related to the activity which primary purpose is the sexual reproduction.\"" [NBO:GVG]"
INFO	lowercase_definition	vocalization behavior	IAO:0000115	"\""A behavior in which an organism produces sounds by a mechanism involving its respiratory system.\"" [NBO:GVG]"
INFO	lowercase_definition	behavioral control of excretion	IAO:0000115	"\""The elimination by an organism of the waste products that arise as a result of metabolic activity. These products include water, carbon dioxide (CO2), and nitrogenous compounds.\"" [wikipedia:Excretion]"
INFO	lowercase_definition	behavioral control of urination	IAO:0000115	"\""The regulation of body fluids process by which parasympathetic nerves stimulate the bladder wall muscle to contract and expel urine from the body.\"" [wikipedia:urination]"
INFO	lowercase_definition	behavioral control of lacrimation	IAO:0000115	"\""The regulated release of the aqueous layer of the tear film from the lacrimal glands.\"" [wikipedia:lacrimation]"
INFO	lowercase_definition	protection of offspring behavior	IAO:0000115	"\""Behavior related the protection of offspring.\"" [NBO:SD]"
INFO	lowercase_definition	social play	IAO:0000115	"\""Play behavior that is associated with the socialization of an individual into the group.\"" [web:http\://www.bio.davidson.edu/people/vecase/behavior/Spring2009/Sacco/Pages/Play%20Fighting.html]"
INFO	lowercase_definition	thermoregulation behavior	IAO:0000115	"\""Behavior related to the actions by which an organism modulates its internal body temperature.\"" [NBO:GVG]"
INFO	lowercase_definition	suckling behavior	IAO:0000115	"\""Specific actions of a newborn or infant mammal that result in the derivation of nourishment from the breast.\"" [GOC:dph]"
INFO	lowercase_definition	forelimb paralysis	IAO:0000115	"\""Loss of power of voluntary movement in muscles of the forelimb through injury or disease of it or its nerve supply.\"" [JAX:]"
INFO	lowercase_definition	bathing behavior	IAO:0000115	"\""Behavior related to the washing or cleansing of the body in a fluid, usually water or an aqueous solution.\"" [wikipedia:Bathing]"
INFO	lowercase_definition	regulation of eating behavior	IAO:0000115	"\""A feeding behavior associated with the intake or the frequency of intake or preference or manner of intake of food.\"" [NBO:GVG]"
INFO	lowercase_definition	regulation of drinking behavior	IAO:0000115	"\""A feeding behavior associated with the intake or the frequency of intake or preference or manner of intake of liquids.\"" [NBO:GVG]"
INFO	lowercase_definition	consciousness behavior	IAO:0000115	"\""Behavior related to a variety of aspects of the relationship between the mind and the world with which it interacts.\"" [wikipedia:Consciousness]"
INFO	lowercase_definition	wakefulness	IAO:0000115	"\""Behavior related to the state of being conscious and engages in a coherent cognitive and behavior responses to the external world.\"" [NBO:SD, wikipedia:Wakefulness]"
INFO	lowercase_definition	asleep	IAO:0000115	"\""Behavior related to reduced or absent consciousness, relatively suspended sensory activity, and inactivity of nearly all voluntary muscles.\"" [wikipedia:Asleep]"
INFO	lowercase_definition	shaking	IAO:0000115	"\""Repetitive movement of a body part.\"" [NBO:GVG]"
INFO	lowercase_definition	fossorial locomotion behavior	IAO:0000115	"\""Behavior related to the movement facilitated by the generation of hole or tunnel dug into the ground.\"" [NBO:GVG]"
INFO	lowercase_definition	courtship behavior	IAO:0000115	"\""The behavioral interactions between organisms for the purpose of attracting sexual partners.\"" [GOC:dph]"
INFO	lowercase_definition	post-mating behavior	IAO:0000115	"\""Behavior related to the specific actions or reactions of an organism following mating.\"" [GOC:bf]"
INFO	lowercase_definition	circadian behavior	IAO:0000115	"\""Behavior related to any biological process in an organism that recurs with a regularity of approximately 24 hours.\"" [NBO:GVG]"
INFO	lowercase_definition	depression behavior	IAO:0000115	"\""Emotional behavior related to a state of low mood  and aversion to activity.\"" [wikipedia:Depression]"
INFO	lowercase_definition	novelty response behavior	IAO:0000115	"\""Behavior related to the exploration/investigation of a novel object, situation or environment.\"" [NBO:GVG]"
INFO	lowercase_definition	antipredation behavior	IAO:0000115	"\""Behavior related to defence against predation or predators.\"" [NBO:GVG]"
INFO	lowercase_definition	acute stress response	IAO:0000115	"\""Behavior related to the preparation of the body to \\""fight\\"" or \\""flee\\"" from perceived attack, harm or threat.\"" [NBO:GVG]"
INFO	lowercase_definition	predator behavior	IAO:0000115	"\""A physical aggression behavior involving attack on prey by a predator.\"" [NBO:GVG]"
INFO	lowercase_definition	fear-related behavior	IAO:0000115	"\""An emotional behavior related to a feeling of uneasiness or nervousness triggered by a specified triggering stimulus such as pain or the threat of danger.\"" [NBO:GVG]"
INFO	lowercase_definition	anxiety-related behavior	IAO:0000115	"\""An emotional behavior related to a feeling of uneasiness or nervousness triggered by an identifiable triggering stimulus.\"" [NBO:GVG]"
INFO	lowercase_definition	fear behavior towards objects	IAO:0000115	"\""An emotional behavior related to a feeling of uneasiness or nervousness in respect to an object.\"" [NBO:GVG]"
INFO	lowercase_definition	fear behavior towards situation/environment	IAO:0000115	"\""An emotional behavior related to a feeling of uneasiness or nervousness in respect to a particular situation or environment.\"" [NBO:GVG]"
INFO	lowercase_definition	fear behavior towards living things	IAO:0000115	"\""An emotional behavior related to a feeling of uneasiness or nervousness in respect to a living thing.\"" [NBO:GVG]"
INFO	lowercase_definition	agoraphobia behavior	IAO:0000115	"\""A phobia characterised by fear of open spaces.\"" [NBO:GVG]"
INFO	lowercase_definition	response to novel environment	IAO:0000115	"\""Behavior related to the exploration/investigation of a novel environment.\"" [NBO:GVG]"
INFO	lowercase_definition	response to novel object	IAO:0000115	"\""Behavior related to the exploration/investigation of a novel obhject.\"" [NBO:GVG]"
INFO	lowercase_definition	response to novel odor	IAO:0000115	"\""Behavior related to the exploration/investigation of a novel odor.\"" [NBO:GVG]"
INFO	lowercase_definition	retropulsion	IAO:0000115	"\""Moving backwards.\"" [NBO:GVG]"
INFO	lowercase_definition	fear-related retropulsion	IAO:0000115	"\""Moving backwards in response to a fear stimulus.\"" [NBO:GVG]"
INFO	lowercase_definition	coping behavior	IAO:0000115	"\""Behavioral response to the presidency of the stressor where it becomes necessary to attempt some means of coping with the stress.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards humans	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards humans.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards animals	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards animals.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards objects	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action toward any type of object.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards mice	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards mice.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards women	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards women.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards men	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards men.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards male mice	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards male mice.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards female mice	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards female mice.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards inanimate objects	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action toward inanimate objects.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards animate objects	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action toward inanimate objects.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards children	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards children.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards pups	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards pups.\"" [NBO:GVG]"
INFO	lowercase_definition	gender-related aggressive behavior	IAO:0000115	"\""Gender related exhibition of a domineering, assault posture and/or hostile physical action.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards females	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards female animals.\"" [NBO:GVG]"
INFO	lowercase_definition	aggressive behavior towards males	IAO:0000115	"\""Exhibiting a domineering, assault posture and/or hostile physical action towards male animals.\"" [NBO:GVG]"
INFO	lowercase_definition	impulsive behavior	IAO:0000115	"\""A behavior that occur quickly without control, planning, or consideration of the consequences of that behavior.\"" [NBO:GVG]"
INFO	lowercase_definition	physical aggression behavior	IAO:0000115	"\""An aggressive behavior that aims to inflicting damage on another entity using physical means.\"" [NBO:GVG]"
INFO	lowercase_definition	submissive behavior towards males	IAO:0000115	"\""A behavior associated with the tendency of an organism towards being passive and willing to yield to male animals.\"" [NBO:GVG]"
