Level	Rule Name	Subject	Property	Value
WARN	missing_definition	social investigation	IAO:0000115	
WARN	missing_definition	reclusive behavior	IAO:0000115	
WARN	missing_definition	maternal crouching	IAO:0000115	
WARN	missing_definition	nesting behavior	IAO:0000115	
WARN	missing_definition	nest building behavior	IAO:0000115	
WARN	missing_definition	sleep pattern	IAO:0000115	
WARN	missing_definition	rapid eye movement sleep	IAO:0000115	
WARN	missing_definition	sleep duration	IAO:0000115	
WARN	missing_definition	REM frequency	IAO:0000115	
WARN	missing_definition	NREM frequency	IAO:0000115	
WARN	missing_definition	circadian period	IAO:0000115	
WARN	missing_definition	circadian persistence	IAO:0000115	
WARN	missing_definition	circadian phase	IAO:0000115	
WARN	missing_definition	olfactory learning behavior	IAO:0000115	
WARN	missing_definition	visual learning behavior	IAO:0000115	
WARN	missing_definition	motor learning	IAO:0000115	
WARN	missing_definition	spatial learning	IAO:0000115	
WARN	missing_definition	iconic memory	IAO:0000115	
WARN	missing_definition	direct priming	IAO:0000115	
WARN	missing_definition	response priming	IAO:0000115	
WARN	missing_definition	avoidance learning behavior	IAO:0000115	
WARN	missing_definition	conditioned taste aversion	IAO:0000115	
WARN	missing_definition	imprinting behavior	IAO:0000115	
WARN	missing_definition	latent learning behavior	IAO:0000115	
WARN	missing_definition	observational learning	IAO:0000115	
WARN	missing_definition	language learning behavior	IAO:0000115	
WARN	missing_definition	conditioned emotional response	IAO:0000115	
WARN	missing_definition	conditioned place preference behavior	IAO:0000115	
WARN	missing_definition	contextual conditioning behavior	IAO:0000115	
WARN	missing_definition	cued conditioning behavior	IAO:0000115	
WARN	missing_definition	spinal conditioning	IAO:0000115	
WARN	missing_definition	eye blink conditioning behavior	IAO:0000115	
WARN	missing_definition	jaw movement conditioning behavior	IAO:0000115	
WARN	missing_definition	pleasure behavior	IAO:0000115	
WARN	missing_definition	excitement behavior	IAO:0000115	
WARN	missing_definition	distress behavior	IAO:0000115	
WARN	missing_definition	anorexia nervosa	IAO:0000115	
WARN	missing_definition	bulimia nervosa	IAO:0000115	
WARN	missing_definition	obesity	IAO:0000115	
WARN	missing_definition	pathological anxiety	IAO:0000115	
WARN	missing_definition	dissociative disorders	IAO:0000115	
WARN	missing_definition	dissociative amnesia	IAO:0000115	
WARN	missing_definition	dissociative fugue	IAO:0000115	
WARN	missing_definition	dissociative identity disorder	IAO:0000115	
WARN	missing_definition	mood disorder	IAO:0000115	
WARN	missing_definition	major depressive disorder	IAO:0000115	
WARN	missing_definition	psychotic disorder	IAO:0000115	
WARN	missing_definition	paranoid schizophrenia	IAO:0000115	
WARN	missing_definition	catatonic schizophrenia	IAO:0000115	
WARN	missing_definition	disorganized (hebephrenic) schizophrenia	IAO:0000115	
WARN	missing_definition	undifferentiated schizophrenia	IAO:0000115	
WARN	missing_definition	residual schizophrenia	IAO:0000115	
WARN	missing_definition	personality disorder	IAO:0000115	
WARN	missing_definition	delirium	IAO:0000115	
WARN	missing_definition	dementia	IAO:0000115	
WARN	missing_definition	amnestic disorder	IAO:0000115	
WARN	missing_definition	social facilitation	IAO:0000115	
WARN	missing_definition	social interference	IAO:0000115	
WARN	missing_definition	group polarization	IAO:0000115	
WARN	missing_definition	groupthink	IAO:0000115	
WARN	missing_definition	discriminatory behavior	IAO:0000115	
WARN	missing_definition	gender specific discriminatory behavior	IAO:0000115	
WARN	missing_definition	attraction-related behavior	IAO:0000115	
WARN	missing_definition	friendship	IAO:0000115	
WARN	missing_definition	love	IAO:0000115	
WARN	missing_definition	social influence related behavior	IAO:0000115	
WARN	missing_definition	conformity	IAO:0000115	
WARN	missing_definition	obedience to authority	IAO:0000115	
WARN	missing_definition	bystander intervention	IAO:0000115	
WARN	missing_definition	satiation	IAO:0000115	
WARN	missing_definition	alloparental behavior	IAO:0000115	
WARN	missing_definition	memory encoding behavior	IAO:0000115	
WARN	missing_definition	balance	IAO:0000115	
WARN	missing_definition	body rotation sensation behavior	IAO:0000115	
WARN	missing_definition	gravitation sensation behavior	IAO:0000115	
WARN	missing_definition	movement sensation behavior	IAO:0000115	
WARN	missing_definition	taste behavior	IAO:0000115	
WARN	missing_definition	cutaneous sensation behavior	IAO:0000115	
WARN	missing_definition	nociceptive behavior	IAO:0000115	
WARN	missing_definition	touch related behavior	IAO:0000115	
WARN	missing_definition	chemical nociceptive behavior	IAO:0000115	
WARN	missing_definition	mechanical nociceptive behavior	IAO:0000115	
WARN	missing_definition	thermal nociceptive behavior	IAO:0000115	
WARN	missing_definition	chemically-elicited antinociceptive behavior	IAO:0000115	
WARN	missing_definition	pressure related behavior	IAO:0000115	
WARN	missing_definition	manual dexterity	IAO:0000115	
WARN	missing_definition	bilateral coordination	IAO:0000115	
WARN	missing_definition	jaw jerk reflex	IAO:0000115	
WARN	missing_definition	eye movement	IAO:0000115	
WARN	missing_definition	tail movement	IAO:0000115	
WARN	missing_definition	vertical activity	IAO:0000115	
WARN	missing_definition	predator avoidance behavior	IAO:0000115	
WARN	missing_definition	rhythmic behavior phenotype	IAO:0000115	
WARN	missing_definition	circadian behavior phenotype	IAO:0000115	
WARN	missing_definition	intrinsic sleep disorder	IAO:0000115	
WARN	missing_definition	extrinsic sleep disorder	IAO:0000115	
WARN	missing_definition	intrinsic circadian rhythm sleep disorder	IAO:0000115	
WARN	missing_definition	shift work sleep disorder	IAO:0000115	
WARN	missing_definition	depressive disorder	IAO:0000115	
WARN	missing_definition	substance induced mood disorder	IAO:0000115	
WARN	missing_definition	alcohol induced mood disorder	IAO:0000115	
WARN	missing_definition	benzodiazepine induced mood disorder	IAO:0000115	
WARN	missing_definition	Interferon-alpha induced mood disorder	IAO:0000115	
WARN	missing_definition	short term object recognition memory	IAO:0000115	
WARN	missing_definition	visual short term memory	IAO:0000115	
WARN	missing_definition	spatial working memory	IAO:0000115	
WARN	missing_definition	long term spatial memory	IAO:0000115	
WARN	missing_definition	social withdrawal	IAO:0000115	
WARN	missing_definition	social withdrawal in childhood	IAO:0000115	
WARN	missing_definition	behavioral despair	IAO:0000115	
WARN	missing_definition	laughing behavior	IAO:0000115	
WARN	missing_definition	irritable aggressive behavior	IAO:0000115	
WARN	missing_definition	discrimination learning	IAO:0000115	
WARN	missing_definition	being conscious	IAO:0000115	
WARN	missing_definition	cutaneous sensation behavior phenotype	IAO:0000115	
WARN	missing_definition	partial seizure evolving to secondarily generalized seizure	IAO:0000115	
WARN	missing_definition	simple partial seizure evolving to generalized seizure	IAO:0000115	
WARN	missing_definition	complex partial seizure evolving to generalized seizure	IAO:0000115	
WARN	missing_definition	simple partial seizure evolving to complex partial seizure evolving to generalized seizure	IAO:0000115	
WARN	missing_definition	simple partial onset, followed by impairment of consciousness	IAO:0000115	
WARN	missing_definition	with impairment of consciousness at onset	IAO:0000115	
WARN	missing_definition	childhood absence epilepsy	IAO:0000115	
WARN	missing_definition	continuous seizure	IAO:0000115	
WARN	missing_definition	non-convulsive status epilepticus	IAO:0000115	
WARN	missing_definition	generalised convulsive status epilepticus	IAO:0000115	
WARN	missing_definition	absence status epilepticus	IAO:0000115	
WARN	missing_definition	aggressive behavior by intent	IAO:0000115	
WARN	missing_definition	aggressive behavior by means	IAO:0000115	
WARN	missing_definition	perception behavior phenotype	IAO:0000115	
WARN	missing_definition	spatial perception	IAO:0000115	
WARN	missing_definition	jaw movement	IAO:0000115	
WARN	missing_definition	blinking	IAO:0000115	
WARN	missing_definition	eyelid movement	IAO:0000115	
WARN	missing_definition	perception behavior by means	IAO:0000115	
WARN	missing_definition	electrical nociceptive behavior	IAO:0000115	
WARN	missing_definition	emission behavior phenotype	IAO:0000115	
WARN	missing_definition	behavioral control of production of sound phenotype	IAO:0000115	
WARN	missing_definition	behavioral control of external secretion phenotype	IAO:0000115	
WARN	missing_definition	emotional conditioning	IAO:0000115	
WARN	missing_definition	increased amount of liquid in a single drinking act	IAO:0000115	
WARN	missing_definition	increased amount of liquid in drinking regulation	IAO:0000115	
WARN	missing_definition	frequency of drinking	IAO:0000115	
WARN	missing_definition	increased frequency of drinking	IAO:0000115	
WARN	missing_definition	decreased frequency of drinking	IAO:0000115	
WARN	missing_definition	rotation behavior	IAO:0000115	
WARN	missing_definition	cannabis consumption	IAO:0000115	
WARN	missing_definition	by_means	IAO:0000115	
WARN	missing_definition	has-input	IAO:0000115	
WARN	missing_definition	has_participant	IAO:0000115	
WARN	missing_definition	in_response_to	IAO:0000115	
WARN	missing_definition	is_about	IAO:0000115	
WARN	missing_definition	qualifier	IAO:0000115	
INFO	lowercase_definition	social behavior	IAO:0000115	"\""A behavior that occurs predominantly or only, in individuals that are part of a group.\"" [Wikipedia:Social_behavior]"
INFO	lowercase_definition	jumping behavior	IAO:0000115	"\""Behavior relate to the usually upward movement off the ground or other surface through sudden muscular effort in the legs.\"" [GO:0007630]"
INFO	lowercase_definition	paralysis	IAO:0000115	"\""Loss of power of voluntary movement in a muscle through injury or disease of its nerve supply.\"" [JAX:<new dbxref>]"
INFO	lowercase_definition	carpoptosis	IAO:0000115	"\""Paralysis of the extensors of the wrist and fingers.\"" [JAX:<new dbxref>]"
INFO	lowercase_definition	social play	IAO:0000115	"\""Play behavior that is associated with the socialization of an individual into the group.\"" [web:http\://www.bio.davidson.edu/people/vecase/behavior/Spring2009/Sacco/Pages/Play%20Fighting.html]"
INFO	lowercase_definition	wakefulness	IAO:0000115	"\""Behavior related to the state of being conscious and engages in a coherent cognitive and behavior responses to the external world.\"" [NBO:SD, wikipedia:Wakefulness]"
INFO	lowercase_definition	associative learning behavior	IAO:0000115	"\""Learning by associating a stimulus (the cause) with a particular outcome (the effect).\"" [Wikipedia:Learning#Associative_learning]"
INFO	lowercase_definition	vocal learning	IAO:0000115	"\""A behavioral process whose outcome is a relatively long-lasting adaptive behavioral change whereby an organism modifies innate vocalizations to imitate or create new sounds.\"" [GO:0042297]"
INFO	lowercase_definition	emotional memory	IAO:0000115	"\""A type of memory associated with emotional experiences.\"" [wikipedia:http\://www.scholarpedia.org/article/Emotional_memory]"
INFO	lowercase_definition	visual memory	IAO:0000115	"\""Ability to store and retrieve previously experienced visual sensations and perceptions when the stimuli that originally evoked them are no longer present.\"" [wikipedia:Visual_memory]"
INFO	lowercase_definition	eidetic memory	IAO:0000115	"\""The ability to recall images, sounds, or objects in memory with extreme precision and in abundant volume.\"" [wikipedia:Eidetic_memory]"
INFO	lowercase_definition	operant conditioning behavior	IAO:0000115	"\""Operant conditioning is the use of a behavior's antecedent and/or its consequence to influence the occurrence and form of behavior.\"" [wikipedia:Operant_conditioning]"
INFO	lowercase_definition	social learning	IAO:0000115	"\""The sociological process of training individuals in a society to act or respond in a manner generally approved by the society in general and peer groups within society.\"" [wikipedia:Social_conditioning]"
INFO	lowercase_definition	perceptual constancy behavior	IAO:0000115	"\""Perception of objects remains the same despite changes in their image on the retina.\"" [:http\://science.jrank.org/pages/5094/Perception.html]"
INFO	lowercase_definition	generalized anxiety	IAO:0000115	"\""A pathological anxiety characterized by long-lasting anxiety that is not focused on any one object or situation.\"" [wikipedia:Generalized_anxiety_disorder]"
INFO	lowercase_definition	panic	IAO:0000115	"\""A pathological anxiety characterized by brief attacks of intense terror and apprehension, often marked by trembling, shaking, confusion, dizziness, nausea, difficulty breathing.\"" [wikipedia:Panic_disorder]"
INFO	lowercase_definition	obsessive-compulsive disorder	IAO:0000115	"\""A pathological anxiety primarily characterized by repetitive obsessions (distressing, persistent, and intrusive thoughts or images) and compulsions (urges to perform specific acts or rituals).\"" [wikipedia:Obsessive%E2%80%93compulsive_disorder]"
INFO	lowercase_definition	somatoform behavior phenotype	IAO:0000115	"\""A pathological behavior characterized by one or more symptoms of a physical dysfunction but for which there is no identifiable organic cause.\"" [wikipedia:Somatoform_disorder]"
INFO	lowercase_definition	conversion disorder	IAO:0000115	"\""A somatoform disorder characterised by a physical dysfunction (blindness, deafness, paralysis, numbness, etc. ) that has no underlying organic basis.\"" [wikipedia:Conversion_disorder]"
INFO	lowercase_definition	bipolar disorder	IAO:0000115	"\""A mood disorder formerly characterised by alternating periods of mania and depression (and in some cases rapid cycling, mixed states, and psychotic symptoms).\"" [wikipedia:Bipolar_disorder]"
INFO	lowercase_definition	prosocial behavior	IAO:0000115	"\""Prosocial behavior is caring about the welfare and rights of others, feeling concern and empathy for them, and acting in ways that benefit others.\"" [wikipedia:Prosocial_behavior]"
INFO	lowercase_definition	helping behavior	IAO:0000115	"\""Helping behavior refers to voluntary actions intended to help the others, with reward regarded or disregarded.\"" [wikipedia:Helping_behavior]"
INFO	lowercase_definition	reciprocal altruism	IAO:0000115	"\""Reciprocal altruism is the idea that the incentive for an individual to help in the present is based on the expectation of the potential receipt in the future.\"" [wikipedia:Helping_behavior]"
INFO	lowercase_definition	behavior stemming from emotional intelligence	IAO:0000115	"\""Behavior stemming from the ability to identify, assess, and control the emotions of oneself, of others, and of groups.\"" [wikipedia:Emotional_intelligence]"
INFO	lowercase_definition	behavior stemming from problem solving	IAO:0000115	"\""Behavior associated with problem finding and problem shaping.\"" [wikipedia:Problem_solving]"
INFO	lowercase_definition	behavior process	IAO:0000115	"\""The action, reaction, or performance of an organism in response to external or internal stimuli.\"" [GO:GO\:0007610]"
INFO	lowercase_definition	visual behavior	IAO:0000115	"\""Behavior related to the actions or reactions of an organism in response to a visual stimulus.\"" [GO:0007632]"
INFO	lowercase_definition	optokinetic behavior	IAO:0000115	"\""Behavior related to the actions or reactions of an organism pertaining to movement of the eyes and of objects in the visual field, as in nystagmus.\"" [GO:0007634]"
INFO	lowercase_definition	auditory behavior	IAO:0000115	"\""Behavior related to the actions or reactions of an organism in response to a sound.\"" [GO:0031223]"
INFO	lowercase_definition	kinesthetic behavior	IAO:0000115	"\""Movement behavior of the body or its parts.\"""
INFO	lowercase_definition	motor coordination	IAO:0000115	"\""The coordination of combinations of body movements created with the kinematic (such as spatial direction) and kinetic (force) parameters that result in intended actions.\"" [wikipedia:Motor_coordination]"
INFO	lowercase_definition	eye-hand coordination	IAO:0000115	"\""The coordinated control of eye movement with hand movement, and the processing of visual input to guide reaching and grasping along with the use of proprioception of the hands to guide the eyes.\"" [wikipedia:Eye%E2%80%93hand_coordination]"
INFO	lowercase_definition	gait	IAO:0000115	"\""The pattern of movement of the limbs of animals, characterized by elements of progression, stability, speed and length over the ground.\"" [MP:0001406]"
INFO	lowercase_definition	arboreal locomotion behavior	IAO:0000115	"\""Behavior related to the locomotion of animals in trees.\"" [wikipedia:Arboreal_locomotion]"
INFO	lowercase_definition	brachiation	IAO:0000115	arm over arm swinging movement through arboreal environment [NBO:AC]
INFO	lowercase_definition	chemotactic behavior	IAO:0000115	"\""Locomotory orientation in response to specific chemical concentration gradient.\"" [GO:0006935]"
INFO	lowercase_definition	gravitactic behavior	IAO:0000115	"\""Locomotory orientation in response to gravity.\"" [GO:0048062]"
INFO	lowercase_definition	negative gravitactic behavior	IAO:0000115	"\""Locomotory orientation away from the source of gravity.\"" [GO:0048060]"
INFO	lowercase_definition	positive gravitactic behavior	IAO:0000115	"\""Locomotory orientation towards the source of gravity.\"" [GO:0048061]"
INFO	lowercase_definition	thigmotaxis	IAO:0000115	"\""Locomotory orientation in response to touch.\"" [GO:0001966]"
INFO	lowercase_definition	energy taxis	IAO:0000115	"\""Locomotory orientation in response to physical parameters involved in energy generation.\"" [GO:0009453]"
INFO	lowercase_definition	phototactic behavior	IAO:0000115	"\""Locomotory orientation in response to light.\"" [GO:0042331]"
INFO	lowercase_definition	thermotaxis	IAO:0000115	"\""Locomotory orientation in response to a temperature gradient.\"" [GO:0043052]"
INFO	lowercase_definition	primitive reflex	IAO:0000115	"\""Reflex actions originating in the central nervous system that are exhibited by normal infants in response to particular stimuli.\"" [wikipedia:Primitive_reflexes]"
INFO	lowercase_definition	startle reflex	IAO:0000115	"\""An action or movement due to the application of a sudden unexpected stimulus.\"" [wikipedia:Startle_reflex]"
INFO	lowercase_definition	tonic labyrinthine reflex	IAO:0000115	"\""A reflex that arises when tilting the head back while lying on the back causes the back to stiffen and even arch backwards, the legs to straighten, stiffen, and push together, the toes to point, the arms to bend at the elbows and wrists, and the hands to become fisted or the fingers to curl.\"" [wikipedia:Tonic_labyrinthine_reflex]"
INFO	lowercase_definition	asymmetrical tonic neck reflex	IAO:0000115	"\""A reflex that assists in the birthing process and helps to develop muscle tone, kicking and stimulates vestibular function in utero.\"" [wikipedia:Asymmetrical_tonic_neck_reflex]"
INFO	lowercase_definition	galant reflex	IAO:0000115	"\""It is elicited by holding the newborn in ventral suspension (face down) and stroking along the one side of the spine. A reflex that caused the laterally flex toward the stimulated side when a newborn is held in ventral suspension (face down) and stroking along the one side of the spine.\"" [NBO:Galant_reflex]"
INFO	lowercase_definition	babkin reflex	IAO:0000115	"\""A reflex elicited by the application of pressure to both palms resulting varying responses such as head flexion, head rotation or opening of the mouth, or a combination of these responses.\"" [wikipedia:Primitive_reflexes]"
INFO	lowercase_definition	swimming reflex	IAO:0000115	"\""A reflex that causes the infant to begin to paddle and kick in a swimming motion upon its placement face down in a pool of water.\"" [NBO:Primitive_reflexes]"
INFO	lowercase_definition	plantar reflex	IAO:0000115	"\""A reflex elicited when the sole of the foot is stimulated with a blunt instrument.\"" [wikipedia:Plantar_reflex]"
INFO	lowercase_definition	palmar grasp reflex	IAO:0000115	"\""A reflex elicited by the placement of an object in the infant's hand and strokes their palm, causing its fingers to close and grasp it.\"" [wikipedia:Primitive_reflexes]"
INFO	lowercase_definition	rooting reflex	IAO:0000115	"\""A reflex that causes a newborn infant to turn his head toward anything that strokes his cheek or mouth, searching for the object by moving his head in steadily decreasing arcs until the object is found.\"" [wikipedia:Primitive_reflexes]"
INFO	lowercase_definition	sucking reflex	IAO:0000115	"\""A reflex that causes the infant to instinctively suck at anything that touches the roof of their mouth and suddenly starts to suck simulating the way they naturally eat.\"" [wikipedia:Primitive_reflexes]"
INFO	lowercase_definition	walking reflex	IAO:0000115	"\""A reflex that causes the infant to attempt to 'walk' by placing one foot in front of the other when the soles of their feet touch a flat surface.\"" [wikipedia:Primitive_reflexes]"
INFO	lowercase_definition	stretch reflex	IAO:0000115	"\""A muscle contraction in response to stretching within the muscle.\"" [wikipedia:Stretch_reflex]"
INFO	lowercase_definition	brachioradialis reflex	IAO:0000115	"\""A deep tendon reflex elicited by striking the lateral surface of the forearm proximal to the distal head of the radius, characterized by normal slight elbow flexion and forearm supination.\"" [Medical disctionary:http\://medical-dictionary.thefreedictionary.com/brachioradialis+reflex]"
INFO	lowercase_definition	triceps reflex	IAO:0000115	"\""A deep tendon reflex that elicits involuntary contraction of the triceps brachii muscle.\"" [wikipedia:Triceps_reflex]"
INFO	lowercase_definition	ankle jerk reflex	IAO:0000115	"\""A reflex bending of the foot resulting from contraction of the calf muscles when the Achilles tendon is sharply struck.\"" [Medical Dictionary:http\://medical-dictionary.thefreedictionary.com/Achilles+reflex]"
INFO	lowercase_definition	pupillary light reflex	IAO:0000115	"\""A reflex that controls the diameter of the pupil, in response to the intensity (luminance) of light that falls on the retina of the eye, thereby assisting in adaptation to various levels of darkness and light, in addition to retinal sensitivity.\"" [wikipedia:Pupillary_light_reflex]"
INFO	lowercase_definition	accommodation reflex	IAO:0000115	"\""A reflex action of the eye, in response to focusing on a near object, then looking at distant object (and vice versa), comprising coordinated changes in vergence, lens shape and pupil size.\"" [wikipedia:Accommodation_reflex]"
INFO	lowercase_definition	corneal reflex	IAO:0000115	"\""An involuntary blinking of the eyelids elicited by stimulation of the cornea.\"" [wikipedia:Corneal_reflex]"
INFO	lowercase_definition	vestibulo-ocular reflex	IAO:0000115	"\""A reflex eye movement that stabilizes images on the retina during head movement by producing an eye movement in the direction opposite to head movement, thus preserving the image on the center of the visual field.\"" [wikipedia:Vestibulo-ocular_reflex]"
INFO	lowercase_definition	physiologic nystagmus	IAO:0000115	"\""A form of involuntary eye movement that is part of the vestibulo-ocular reflex (VOR). It is characterized by alternating smooth pursuit in one direction and saccadic movement in the other direction.\"" [wikipedia:Physiologic_nystagmus]"
INFO	lowercase_definition	pharyngeal reflex	IAO:0000115	"\""A reflex contraction of the back of the throat, evoked by touching the soft palate.\"" [wikipedia:Gag_reflex]"
INFO	lowercase_definition	delayed sleep phase syndrome	IAO:0000115	"\""A circadian rhythm sleep disorder characterized by a much later than normal timing of sleep onset and offset and a period of peak alertness in the middle of the night.\"" [wikipedia:Delayed_sleep_phase_syndrome]"
INFO	lowercase_definition	abdominal reflex	IAO:0000115	"\""A reflex that results in the contraction of the muscles of the abdominal wall in response to stimulation of the overlying skin.\"" [web:http\://www.merriam-webster.com/medical/abdominal%20reflex]"
INFO	lowercase_definition	anocutaneous reflex	IAO:0000115	"\""Reflexive contraction of the external anal sphincter upon stroking of the skin around the anus.\"" [wikipedia:Anal_wink]"
INFO	lowercase_definition	cremasteric reflex	IAO:0000115	"\""A reflex is elicited by lightly stroking the superior and medial (inner) part of the thigh resulting in a contraction of the cremaster muscle that pulls up the scrotum and testis on the side stroked.\"" [wikipedia:Cremasteric_reflex]"
INFO	lowercase_definition	mammalian diving reflex	IAO:0000115	"\""A reflex in mammals which optimises respiration to allow staying underwater for extended periods of time.\"" [wikipedia:Mammalian_diving_reflex]"
